band,tcol,logit0,logit1
5,5,165,92
5,6,161,100
5,7,170,92
5,8,126,135
5,9,178,80
5,10,160,101
5,11,152,109
5,12,155,102
5,13,166,95
5,14,137,125
5,15,151,110
5,16,146,115
5,17,161,99
5,18,187,69
5,19,170,88
5,20,176,79
5,21,178,72
5,22,176,82
5,23,166,87
5,24,163,102
5,25,193,69
5,26,158,103
5,27,145,121
5,28,145,117
5,29,155,107
5,30,156,112
5,31,156,108
5,32,178,83
5,33,167,92
5,34,182,75
5,35,182,76
5,36,157,103
5,37,185,78
5,38,171,91
5,39,186,76
6,0,135,134
6,1,167,97
6,2,152,114
6,3,163,101
6,4,155,105
6,5,173,80
6,6,174,83
6,7,188,74
6,8,180,79
6,9,165,88
6,10,182,72
6,11,179,69
6,12,164,92
6,13,149,109
6,14,164,92
6,15,167,89
6,16,155,104
6,17,169,91
6,18,178,88
6,19,180,83
6,20,161,103
6,21,161,96
6,22,146,108
6,23,166,89
6,24,185,71
6,25,169,91
6,26,146,116
6,27,136,130
6,28,146,117
6,29,135,124
6,30,139,120
6,31,148,118
6,32,113,151
6,33,127,141
6,34,158,114
6,35,138,128
6,36,145,114
6,37,129,129
6,38,166,92
6,39,163,100
7,0,164,93
7,1,163,105
7,2,163,94
7,3,161,102
7,4,154,110
7,5,173,93
7,6,170,91
7,7,174,89
7,8,133,135
7,9,187,69
7,10,175,85
7,11,141,123
7,12,169,90
7,13,185,74
7,14,170,85
7,15,182,79
7,16,190,63
7,17,204,57
7,18,188,70
7,19,173,77
7,20,152,102
7,21,167,88
7,22,174,84
7,23,192,68
7,24,169,87
7,25,166,96
7,26,165,97
7,27,183,75
7,28,169,87
7,29,183,72
7,30,168,85
7,31,195,68
7,32,195,65
7,33,169,91
7,34,138,120
7,35,180,87
7,36,202,63
7,37,185,74
7,38,184,74
7,39,180,79
8,0,188,68
8,1,150,111
8,2,170,91
8,3,161,95
8,4,182,74
8,5,165,92
8,6,161,100
8,7,170,92
8,8,126,135
8,9,178,80
8,10,160,101
8,11,152,109
8,12,155,102
8,13,166,95
8,14,137,125
8,15,151,110
8,16,146,115
8,17,161,99
8,18,187,69
8,19,170,88
8,20,176,79
8,21,178,72
8,22,176,82
8,23,166,87
8,24,163,102
8,25,193,69
8,26,158,103
8,27,145,121
8,28,145,117
8,29,155,107
8,30,156,112
8,31,156,108
8,32,178,83
8,33,167,92
8,34,182,75
8,35,182,76
8,36,157,103
8,37,185,78
8,38,171,91
8,39,186,76
9,0,135,134
9,1,167,97
9,2,152,114
9,3,163,101
9,4,155,105
9,5,173,80
9,6,174,83
9,7,188,74
9,8,180,79
9,9,165,88
9,10,182,72
9,11,179,69
9,12,164,92
9,13,149,109
9,14,164,92
9,15,167,89
9,16,155,104
9,17,169,91
9,18,178,88
9,19,180,83
9,20,161,103
9,21,161,96
9,22,146,108
9,23,166,89
9,24,185,71
9,25,169,91
9,26,146,116
9,27,136,130
9,28,146,117
9,29,135,124
9,30,139,120
9,31,148,118
9,32,113,151
9,33,127,141
9,34,158,114
9,35,138,128
9,36,145,114
9,37,129,129
9,38,166,92
9,39,163,100
10,0,164,93
10,1,163,105
10,2,163,94
10,3,161,102
10,4,154,110
10,5,173,93
10,6,170,91
10,7,174,89
10,8,133,135
10,9,187,69
10,10,175,85
10,11,141,123
10,12,169,90
10,13,185,74
10,14,170,85
10,15,182,79
10,16,190,63
10,17,204,57
10,18,188,70
10,19,173,77
10,20,152,102
10,21,167,88
10,22,174,84
10,23,192,68
10,24,169,87
10,25,166,96
10,26,165,97
10,27,183,75
10,28,169,87
10,29,183,72
10,30,168,85
10,31,195,68
10,32,195,65
10,33,169,91
10,34,138,120
10,35,180,87
10,36,202,63
10,37,185,74
10,38,184,74
10,39,180,79
11,0,188,68
11,1,150,111
11,2,170,91
11,3,161,95
11,4,182,74
11,5,165,92
11,6,161,100
11,7,170,92
11,8,126,135
11,9,178,80
11,10,160,101
11,11,152,109
11,12,155,102
11,13,166,95
11,14,137,125
11,15,151,110
11,16,146,115
11,17,161,99
11,18,187,69
11,19,170,88
11,20,176,79
11,21,178,72
11,22,176,82
11,23,166,87
11,24,163,102
11,25,193,69
11,26,158,103
11,27,145,121
11,28,145,117
11,29,155,107
11,30,156,112
11,31,156,108
11,32,178,83
11,33,167,92
11,34,182,75
11,35,182,76
11,36,157,103
11,37,185,78
11,38,171,91
11,39,186,76
12,0,135,134
12,1,167,97
12,2,152,114
12,3,163,101
12,4,155,105
12,5,173,80
12,6,174,83
12,7,188,74
12,8,180,79
12,9,165,88
12,10,182,72
12,11,179,69
12,12,164,92
12,13,149,109
12,14,164,92
12,15,167,89
12,16,155,104
12,17,169,91
12,18,178,88
12,19,180,83
12,20,161,103
12,21,161,96
12,22,146,108
12,23,166,89
12,24,185,71
12,25,169,91
12,26,146,116
12,27,136,130
12,28,146,117
12,29,135,124
12,30,139,120
12,31,148,118
12,32,113,151
12,33,127,141
12,34,158,114
12,35,138,128
12,36,145,114
12,37,129,129
12,38,166,92
12,39,163,100
13,0,164,93
13,1,163,105
13,2,163,94
13,3,161,102
13,4,154,110
13,5,173,93
13,6,170,91
13,7,174,89
13,8,133,135
13,9,187,69
13,10,175,85
13,11,141,123
13,12,169,90
13,13,185,74
13,14,170,85
13,15,182,79
13,16,190,63
13,17,204,57
13,18,188,70
13,19,173,77
13,20,152,102
13,21,167,88
13,22,174,84
13,23,192,68
13,24,169,87
13,25,166,96
13,26,165,97
13,27,183,75
13,28,169,87
13,29,183,72
13,30,168,85
13,31,195,68
13,32,195,65
13,33,169,91
13,34,138,120
13,35,180,87
13,36,202,63
13,37,185,74
13,38,184,74
13,39,180,79
14,0,188,68
14,1,150,111
14,2,170,91
14,3,161,95
14,4,182,74
14,5,165,92
14,6,161,100
14,7,170,92
14,8,126,135
14,9,178,80
14,10,160,101
14,11,152,109
14,12,155,102
14,13,166,95
14,14,137,125
14,15,151,110
14,16,146,115
14,17,161,99
14,18,187,69
14,19,170,88
14,20,176,79
14,21,178,72
14,22,176,82
14,23,166,87
14,24,163,102
14,25,193,69
14,26,158,103
14,27,145,121
14,28,145,117
14,29,155,107
14,30,156,112
14,31,156,108
14,32,178,83
14,33,167,92
14,34,182,75
14,35,182,76
14,36,157,103
14,37,185,78
14,38,171,91
14,39,186,76
15,0,135,134
15,1,167,97
15,2,152,114
15,3,163,101
15,4,155,105
15,5,173,80
15,6,174,83
15,7,188,74
15,8,180,79
15,9,165,88
15,10,182,72
15,11,179,69
15,12,164,92
15,13,149,109
15,14,164,92
15,15,167,89
15,16,155,104
15,17,169,91
15,18,178,88
15,19,180,83
15,20,161,103
15,21,161,96
15,22,146,108
15,23,166,89
15,24,185,71
15,25,169,91
15,26,146,116
15,27,136,130
15,28,146,117
15,29,135,124
15,30,139,120
15,31,148,118
15,32,113,151
15,33,127,141
15,34,158,114
15,35,138,128
15,36,145,114
15,37,129,129
15,38,166,92
15,39,163,100
16,0,164,93
16,1,163,105
16,2,163,94
16,3,161,102
16,4,154,110
16,5,173,93
16,6,170,91
16,7,174,89
16,8,133,135
16,9,187,69
16,10,175,85
16,11,141,123
16,12,169,90
16,13,185,74
16,14,170,85
16,15,182,79
16,16,190,63
16,17,204,57
16,18,188,70
16,19,173,77
16,20,152,102
16,21,167,88
16,22,174,84
16,23,192,68
16,24,169,87
16,25,166,96
16,26,165,97
16,27,183,75
16,28,169,87
16,29,183,72
16,30,168,85
16,31,195,68
16,32,195,65
16,33,169,91
16,34,138,120
16,35,180,87
16,36,202,63
16,37,185,74
16,38,184,74
16,39,180,79
17,0,188,68
17,1,150,111
17,2,170,91
17,3,161,95
17,4,182,74
17,5,165,92
17,6,161,100
17,7,170,92
17,8,126,135
17,9,178,80
17,10,160,101
17,11,152,109
17,12,155,102
17,13,166,95
17,14,137,125
17,15,151,110
17,16,146,115
17,17,161,99
17,18,187,69
17,19,170,88
17,20,176,79
17,21,178,72
17,22,176,82
17,23,166,87
17,24,163,102
17,25,193,69
17,26,158,103
17,27,145,121
17,28,145,117
17,29,155,107
17,30,156,112
17,31,156,108
17,32,178,83
17,33,167,92
17,34,182,75
17,35,182,76
17,36,157,103
17,37,185,78
17,38,171,91
17,39,186,76
18,0,135,134
18,1,167,97
18,2,152,114
18,3,163,101
18,4,155,105
18,5,173,80
18,6,174,83
18,7,188,74
18,8,180,79
18,9,165,88
18,10,182,72
18,11,179,69
18,12,164,92
18,13,149,109
18,14,164,92
18,15,167,89
18,16,155,104
18,17,169,91
18,18,178,88
18,19,180,83
18,20,161,103
18,21,161,96
18,22,146,108
18,23,166,89
18,24,185,71
18,25,169,91
18,26,146,116
18,27,136,130
18,28,146,117
18,29,135,124
18,30,139,120
18,31,148,118
18,32,113,151
18,33,127,141
18,34,158,114
18,35,138,128
18,36,145,114
18,37,129,129
18,38,166,92
18,39,163,100
19,0,164,93
19,1,163,105
19,2,163,94
19,3,161,102
19,4,154,110
19,5,173,93
19,6,170,91
19,7,174,89
19,8,133,135
19,9,187,69
19,10,175,85
19,11,141,123
19,12,169,90
19,13,185,74
19,14,170,85
19,15,182,79
19,16,190,63
19,17,204,57
19,18,188,70
19,19,173,77
19,20,152,102
19,21,167,88
19,22,174,84
19,23,192,68
19,24,169,87
19,25,166,96
19,26,165,97
19,27,183,75
19,28,169,87
19,29,183,72
19,30,168,85
19,31,195,68
19,32,195,65
19,33,169,91
19,34,138,120
19,35,180,87
19,36,202,63
19,37,185,74
19,38,184,74
19,39,180,79
20,0,188,68
20,1,150,111
20,2,170,91
20,3,161,95
20,4,182,74
20,5,165,92
20,6,161,100
20,7,170,92
20,8,126,135
20,9,178,80
20,10,160,101
20,11,152,109
20,12,155,102
20,13,166,95
20,14,137,125
20,15,151,110
20,16,146,115
20,17,161,99
20,18,187,69
20,19,170,88
20,20,176,79
20,21,178,72
20,22,176,82
20,23,166,87
20,24,163,102
20,25,193,69
20,26,158,103
20,27,145,121
20,28,145,117
20,29,155,107
20,30,156,112
20,31,156,108
20,32,178,83
20,33,167,92
20,34,182,75
20,35,182,76
20,36,157,103
20,37,185,78
20,38,171,91
20,39,186,76
21,0,135,134
21,1,167,97
21,2,152,114
21,3,163,101
21,4,155,105
21,5,173,80
21,6,174,83
21,7,188,74
21,8,180,79
21,9,165,88
21,10,182,72
21,11,179,69
21,12,164,92
21,13,149,109
21,14,164,92
21,15,167,89
21,16,155,104
21,17,169,91
21,18,178,88
21,19,180,83
21,20,161,103
21,21,161,96
21,22,146,108
21,23,166,89
21,24,185,71
21,25,169,91
21,26,146,116
21,27,136,130
21,28,146,117
21,29,135,124
21,30,139,120
21,31,148,118
21,32,113,151
21,33,127,141
21,34,158,114
21,35,138,128
21,36,145,114
21,37,129,129
21,38,166,92
21,39,163,100
22,0,164,93
22,1,163,105
22,2,163,94
22,3,161,102
22,4,154,110
22,5,173,93
22,6,170,91
22,7,174,89
22,8,133,135
22,9,187,69
22,10,175,85
22,11,141,123
22,12,169,90
22,13,185,74
22,14,170,85
22,15,182,79
22,16,190,63
22,17,204,57
22,18,188,70
22,19,173,77
22,20,152,102
22,21,167,88
22,22,174,84
22,23,192,68
22,24,169,87
22,25,166,96
22,26,165,97
22,27,183,75
22,28,169,87
22,29,183,72
22,30,168,85
22,31,195,68
22,32,195,65
22,33,169,91
22,34,138,120
22,35,180,87
22,36,202,63
22,37,185,74
22,38,184,74
22,39,180,79
23,0,188,68
23,1,150,111
23,2,170,91
23,3,161,95
23,4,182,74
23,5,165,92
23,6,161,100
23,7,170,92
23,8,126,135
23,9,178,80
23,10,160,101
23,11,152,109
23,12,155,102
23,13,166,95
23,14,137,125
23,15,151,110
23,16,146,115
23,17,161,99
23,18,187,69
23,19,170,88
23,20,176,79
23,21,178,72
23,22,176,82
23,23,166,87
23,24,163,102
23,25,193,69
23,26,158,103
23,27,145,121
23,28,145,117
23,29,155,107
23,30,156,112
23,31,156,108
23,32,178,83
23,33,167,92
23,34,182,75
23,35,182,76
23,36,157,103
23,37,185,78
23,38,171,91
23,39,186,76
24,0,135,134
24,1,167,97
24,2,152,114
24,3,163,101
24,4,155,105
24,5,173,80
24,6,174,83
24,7,188,74
24,8,180,79
24,9,165,88
24,10,182,72
24,11,179,69
24,12,164,92
24,13,149,109
24,14,164,92
24,15,167,89
24,16,155,104
24,17,169,91
24,18,178,88
24,19,180,83
24,20,161,103
24,21,161,96
24,22,146,108
24,23,166,89
24,24,185,71
24,25,169,91
24,26,146,116
24,27,136,130
24,28,146,117
24,29,135,124
24,30,139,120
24,31,148,118
24,32,113,151
24,33,127,141
24,34,158,114
24,35,138,128
24,36,145,114
24,37,129,129
24,38,166,92
24,39,163,100
25,0,164,93
25,1,163,105
25,2,163,94
25,3,161,102
25,4,154,110
25,5,173,93
25,6,170,91
25,7,174,89
25,8,133,135
25,9,187,69
25,10,175,85
25,11,141,123
25,12,169,90
25,13,185,74
25,14,170,85
25,15,182,79
25,16,190,63
25,17,204,57
25,18,188,70
25,19,173,77
25,20,152,102
25,21,167,88
25,22,174,84
25,23,192,68
25,24,169,87
25,25,166,96
25,26,165,97
25,27,183,75
25,28,169,87
25,29,183,72
25,30,168,85
25,31,195,68
25,32,195,65
25,33,169,91
25,34,138,120
25,35,180,87
25,36,202,63
25,37,185,74
25,38,184,74
25,39,180,79
26,0,188,68
26,1,150,111
26,2,170,91
26,3,161,95
26,4,182,74
26,5,165,92
26,6,161,100
26,7,170,92
26,8,126,135
26,9,178,80
26,10,160,101
26,11,152,109
26,12,155,102
26,13,166,95
26,14,137,125
26,15,151,110
26,16,146,115
26,17,161,99
26,18,187,69
26,19,170,88
26,20,176,79
26,21,178,72
26,22,176,82
26,23,166,87
26,24,163,102
26,25,193,69
26,26,158,103
26,27,145,121
26,28,145,117
26,29,155,107
26,30,156,112
26,31,156,108
26,32,178,83
26,33,167,92
26,34,182,75
26,35,182,76
26,36,157,103
26,37,185,78
26,38,171,91
26,39,186,76
27,0,135,134
27,1,167,97
27,2,152,114
27,3,163,101
27,4,155,105
27,5,173,80
27,6,174,83
27,7,188,74
27,8,180,79
27,9,165,88
27,10,182,72
27,11,179,69
27,12,164,92
27,13,149,109
27,14,164,92
27,15,167,89
27,16,155,104
27,17,169,91
27,18,178,88
27,19,180,83
27,20,161,103
27,21,161,96
27,22,146,108
27,23,166,89
27,24,185,71
27,25,169,91
27,26,146,116
27,27,136,130
27,28,146,117
27,29,135,124
27,30,139,120
27,31,148,118
27,32,113,151
27,33,127,141
27,34,158,114
27,35,138,128
27,36,145,114
27,37,129,129
27,38,166,92
27,39,163,100
28,0,164,93
28,1,163,105
28,2,163,94
28,3,161,102
28,4,154,110
28,5,173,93
28,6,170,91
28,7,174,89
28,8,133,135
28,9,187,69
28,10,175,85
28,11,141,123
28,12,169,90
28,13,185,74
28,14,170,85
28,15,182,79
28,16,190,63
28,17,204,57
28,18,188,70
28,19,173,77
28,20,152,102
28,21,167,88
28,22,174,84
28,23,192,68
28,24,169,87
28,25,166,96
28,26,165,97
28,27,183,75
28,28,169,87
28,29,183,72
28,30,168,85
28,31,195,68
28,32,195,65
28,33,169,91
28,34,138,120
28,35,180,87
28,36,202,63
28,37,185,74
28,38,184,74
28,39,180,79
29,0,188,68
29,1,150,111
29,2,170,91
29,3,161,95
29,4,182,74
29,5,165,92
29,6,161,100
29,7,170,92
29,8,126,135
29,9,178,80
29,10,160,101
29,11,152,109
29,12,155,102
29,13,166,95
29,14,137,125
29,15,151,110
29,16,146,115
29,17,161,99
29,18,187,69
29,19,170,88
29,20,176,79
29,21,178,72
29,22,176,82
29,23,166,87
29,24,163,102
29,25,193,69
29,26,158,103
29,27,145,121
29,28,145,117
29,29,155,107
29,30,156,112
29,31,156,108
29,32,178,83
29,33,167,92
29,34,182,75
29,35,182,76
29,36,157,103
29,37,185,78
29,38,171,91
29,39,186,76
